County,Office,Candidate,Party,District,Votes
Dearborn,State Senator,Jeff Raatz,Republican,District 27,330
Dearborn,State Senator,R. Bruce Wissel,Republican,District 27,104
Boone,State Senator,J.D. Ford,Democratic,District 29,112
Boone,State Senator,Mike Delph,Republican,District 29,1506
Clay,State Senator,Timothy Dale (Tim) Skinner,Democratic,District 38,909
Clay,State Senator,John D. Carson,Republican,District 38,939
Clay,State Senator,Jon Ford,Republican,District 38,1085
Clay,State Senator,Eric Bassler,Republican,District 39,283
Daviess,State Senator,Eric Bassler,Republican,District 39,3649
Clay,State Senator,John M. Waterman,Republican,District 39,630
Daviess,State Senator,John M. Waterman,Republican,District 39,1189
Bartholomew,State Senator,Andy Talarzyk,Democratic,District 41,490
Bartholomew,State Senator,Greggory F. Walker,Republican,District 41,3189
Decatur,State Senator,Rudy Howard,Democratic,District 43,368
Bartholomew,State Senator,Rudy Howard,Democratic,District 43,190
Dearborn,State Senator,Rudy Howard,Democratic,District 43,481
Dearborn,State Senator,Bill McDonald,Republican,District 43,481
Decatur,State Senator,Bill McDonald,Republican,District 43,414
Bartholomew,State Senator,Bill McDonald,Republican,District 43,351
Bartholomew,State Senator,Chip Perfect,Republican,District 43,263
Decatur,State Senator,Chip Perfect,Republican,District 43,662
Dearborn,State Senator,Chip Perfect,Republican,District 43,1635
Decatur,State Senator,Mark Schneider,Republican,District 43,445
Bartholomew,State Senator,Mark Schneider,Republican,District 43,539
Dearborn,State Senator,Mark Schneider,Republican,District 43,127
Clark,State Senator,Julie Berry,Democratic,District 45,3398
Clark,State Senator,Jim Smith,Republican,District 45,1513
Clark,State Senator,Charles "Chuck" Freiberger,Democratic,District 46,2137
Clark,State Senator,Ron Grooms,Republican,District 46,919
Dubois,State Senator,"Richard D. Young, Jr.",Democratic,District 47,534
Crawford,State Senator,"Richard D. Young, Jr.",Democratic,District 47,1186
Dubois,State Senator,Erin Houchin,Republican,District 47,375
Crawford,State Senator,Erin Houchin,Republican,District 47,549
Crawford,State Senator,Harris Lloyd (Tad) Whitis,Republican,District 47,383
Dubois,State Senator,Harris Lloyd (Tad) Whitis,Republican,District 47,144
Dubois,State Senator,Larry Vollmer,Democratic,District 48,758
Dubois,State Senator,Mark Messmer,Republican,District 48,1961
Dubois,State Senator,Ted Metzger,Republican,District 48,115
Benton,State Representative,Sharon Negele,Republican,District 13,1325
Elkhart,State Representative,Jodi L. Buoscio,Democratic,District 21,1057
Elkhart,State Representative,Timothy Wesco,Republican,District 21,2681
Elkhart,State Representative,David C.  Kolbe,Democratic,District 22,81
Elkhart,State Representative,Curt Nisly,Republican,District 22,814
Elkhart,State Representative,Rebecca Kubacki,Republican,District 22,429
Cass,State Representative,William C. Friend,Republican,District 23,1207
Boone,State Representative,Steve Braun,Republican,District 24,2392
Carroll,State Representative,Maurice O. Fuller,Democratic,District 25,105
Cass,State Representative,Maurice O. Fuller,Democratic,District 25,58
Clinton,State Representative,Maurice O. Fuller,Democratic,District 25,34
Clinton,State Representative,Donald J. Lehe,Republican,District 25,333
Carroll,State Representative,Donald J. Lehe,Republican,District 25,749
Cass,State Representative,Donald J. Lehe,Republican,District 25,250
Cass,State Representative,Franklyn Voorhies,Republican,District 25,102
Carroll,State Representative,Franklyn Voorhies,Republican,District 25,343
Clinton,State Representative,Franklyn Voorhies,Republican,District 25,145
Boone,State Representative,Sean Shanley,Democratic,District 28,12
Boone,State Representative,Jeffrey A. Thompson,Republican,District 28,232
Blackford,State Representative,Kevin A. Mahan,Republican,District 31,785
Delaware,State Representative,Kevin A. Mahan,Republican,District 31,261
Delaware,State Representative,Bob Ashley,Democratic,District 32,93
Delaware,State Representative,P. Eric Turner,Republican,District 32,58
Delaware,State Representative,Parvin Gillim,Republican,District 32,25
Blackford,State Representative,Shon Byrum,Democratic,District 33,1
Delaware,State Representative,Shon Byrum,Democratic,District 33,625
Delaware,State Representative,Greg Beumer,Republican,District 33,652
Blackford,State Representative,Greg Beumer,Republican,District 33,5
Delaware,State Representative,Sue E. Errington,Democratic,District 34,2432
Delaware,State Representative,Stuart A. Keenan,Republican,District 34,1024
Delaware,State Representative,Melanie Wright,Democratic,District 35,863
Delaware,State Representative,L. Jack Lutz,Republican,District 35,1152
Carroll,State Representative,Heath R. VanNatter,Republican,District 38,842
Cass,State Representative,Heath R. VanNatter,Republican,District 38,328
Clinton,State Representative,Heath R. VanNatter,Republican,District 38,2356
Boone,State Representative,Tim Brown,Republican,District 41,2623
Clay,State Representative,Mark C. Spelbring,Democratic,District 42,690
Clay,State Representative,Alan Morrison,Republican,District 42,1264
Clay,State Representative,Jim Baird,Republican,District 44,627
Daviess,State Representative,Kreg Battles,Democratic,District 45,6
Daviess,State Representative,Bruce Borders,Republican,District 45,196
Clay,State Representative,James R. (Jim)  Mann II,Democratic,District 46,264
Clay,State Representative,Bob Heaton,Republican,District 46,808
Elkhart,State Representative,Adam M. Bujalski,Republican,District 48,986
Elkhart,State Representative,Doug Miller,Republican,District 48,2080
Elkhart,State Representative,Jesse Bohannon,Republican,District 48,1982
Elkhart,State Representative,Wesley Culver,Republican,District 49,3109
Allen,State Representative,Daniel (Dan) J. Leonard,Republican,District 50,1084
Allen,State Representative,Charlie Odier,Democratic,District 52,104
DeKalb,State Representative,Charlie Odier,Democratic,District 52,267
Allen,State Representative,Ben Smaltz,Republican,District 52,1658
DeKalb,State Representative,Ben Smaltz,Republican,District 52,1468
Decatur,State Representative,Glenn E. Bailey,Democratic,District 55,219
Decatur,State Representative,Cindy Meyer Ziemke,Republican,District 55,1094
Bartholomew,State Representative,Sean R. Eberhart,Republican,District 57,1235
Bartholomew,State Representative,Milo Smith,Republican,District 59,4239
Bartholomew,State Representative,Ryan Lauer,Republican,District 59,2895
Daviess,State Representative,Jeff Sparks,Democratic,District 62,30
Daviess,State Representative,Matt Ubelhor,Republican,District 62,475
Dubois,State Representative,Mike Braun,Republican,District 63,1602
Daviess,State Representative,Mike Braun,Republican,District 63,2360
Daviess,State Representative,Richard Moss,Republican,District 63,1468
Dubois,State Representative,Richard Moss,Republican,District 63,477
Brown,State Representative,Eric A. Koch,Republican,District 65,1642
Clark,State Representative,Terry Goodin,Democratic,District 66,1745
Clark,State Representative,"Joe Van Wye, Sr.",Republican,District 66,44
Clark,State Representative,Lisa Seng Shadday,Republican,District 66,369
Clark,State Representative,Ronald (Ron) Harsin,Republican,District 66,175
Decatur,State Representative,Randy Frye,Republican,District 67,458
Dearborn,State Representative,Randy Frye,Republican,District 67,573
Dearborn,State Representative,Rick L. Gill,Democratic,District 68,417
Dearborn,State Representative,Jud McMillin,Republican,District 68,1791
Bartholomew,State Representative,Jim Lucas,Republican,District 69,120
Clark,State Representative,Heidi Sellers,Democratic,District 70,890
Clark,State Representative,Rhonda J. Rhoads,Republican,District 70,531
Clark,State Representative,Steven R. Stemler,Democratic,District 71,3603
Clark,State Representative,Douglas C. Leatherbury,Democratic,District 73,277
Clark,State Representative,Steven Davisson,Republican,District 73,197
Crawford,State Representative,Lloyd Arnold,Republican,District 74,844
Dubois,State Representative,Lloyd Arnold,Republican,District 74,497
Adams,State Representative,Matthew S. Lehman,Republican,District 79,2622
Allen,State Representative,Matthew S. Lehman,Republican,District 79,697
Allen,State Representative,Phil GiaQuinta,Democratic,District 80,1141
Allen,State Representative,Martin Carbaugh,Republican,District 81,3337
Allen,State Representative,Mike Wilber,Democratic,District 82,34
Elkhart,State Representative,Mike Wilber,Democratic,District 82,7
Elkhart,State Representative,David L. Ober,Republican,District 82,172
Allen,State Representative,David L. Ober,Republican,District 82,394
Allen,State Representative,Christopher N. Judy,Republican,District 83,1920
Allen,State Representative,Kathy Heuer,Republican,District 83,1601
Allen,State Representative,Fred Haigh,Democratic,District 84,620
Allen,State Representative,Bob Morris,Republican,District 84,3755
Allen,State Representative,Michael Barranda,Republican,District 84,3502
Allen,State Representative,Casey Cox,Republican,District 85,2613
Allen,State Representative,Denny Worman,Republican,District 85,1515
Allen,State Representative,Ken Knoblauch,Republican,District 85,1148
Allen,Judge of the Circuit Court,Thomas J. Felts,Republican,Allen (38th District),21499
Benton,Judge of the Circuit Court,Rex W. Kepner,Republican,Benton (76th Circuit) ,1411
Clark,Judge of the Circuit Court,Andrew (Drew) Adams,Democratic,"Clark (4th Circt), No. 1",4210
Clark,Judge of the Circuit Court,Dan Moore,Democratic,"Clark (4th Circt), No. 1",3883
Clark,Judge of the Circuit Court,Jerome F. "Jerry" Jacobi,Democratic,"Clark (4th Circt), No. 2",3476
Clark,Judge of the Circuit Court,Laura A. Harbison,Democratic,"Clark (4th Circt), No. 2",4499
Adams,Judge of the Superior Court,Patrick R. Miller,Republican,Adams County ,2701
Clark,Judge of the Circuit Court,Joe P. Weber,Democratic,"Clark (4th Circt), No. 3",5980
Bartholomew,Judge of the Superior Court,Gregory E. (Greg) Long,Republican,"Bartholomew County, No. 2",2962
Bartholomew,Judge of the Superior Court,Jeffrey L. (Jeff) Logston,Republican,"Bartholomew County, No. 2",2077
Bartholomew,Judge of the Superior Court,Kathleen (Kitty) Tighe Coriden,Republican,"Bartholomew County, No. 2",3766
Daviess,Judge of the Circuit Court,Gregory A. Smith,Republican,Daviess (49th Circuit),4113
Boone,Judge of the Superior Court,Matt Kincaid,Republican,"Boone County, No. 1",5478
Boone,Judge of the Superior Court,Bruce Petit,Republican,"Boone County, No. 2",3338
Boone,Judge of the Superior Court,Jim Holden,Republican,"Boone County, No. 2",3027
Delaware,Judge of the Circuit Court,Linda Ralu Wolf,Democratic,Delaware Ct. 3(46th Cir.),4370
Delaware,Judge of the Circuit Court,John M. Feick,Republican,Delaware Ct. 4(46th Cir.),3763
Delaware,Judge of the Circuit Court,Thomas A. Cannon Jr.,Democratic,Delaware Ct. 5(46th Cir.),4241
Carroll,Judge of the Superior Court,Kurtis Glenn Fouts,Republican,Carroll County,1802
Dubois,Judge of the Circuit Court,Nathan A.  Verkamp,Democratic,Dubois (57th Circuit),1581
Dubois,Judge of the Circuit Court,Kevin D. Crouse,Republican,Dubois (57th Circuit),2089
Clinton,Judge of the Superior Court,Justin H. Hunter,Republican,Clinton County,2974
Daviess,Judge of the Superior Court,Dean A. Sobecki,Republican,Daviess County,4077
Dearborn,Judge of the Superior Court,Jonathan N. Cleary,Republican,Dearborn County No. 1,2368
Decatur,Judge of the Superior Court,Matthew D. Bailey,Republican,Decatur County,1631
DeKalb,Judge of the Superior Court,Kevin P. Wallace,Democratic,"DeKalb County, Court 1",298
Elkhart,Judge of the Superior Court,Evan S. Roberts,Republican,"Elkhart County, No. 1",10903
Adams,Prosecuting Attorney,Christopher E. Harvey,Democratic,Adams (26th Circuit),422
Adams,Prosecuting Attorney,Jeremy W. Brown,Republican,Adams (26th Circuit),2622
Elkhart,Judge of the Superior Court,Andrew M. Hicks,Republican,"Elkhart County, No. 3",2802
Elkhart,Judge of the Superior Court,David Francisco,Republican,"Elkhart County, No. 3",3742
Elkhart,Judge of the Superior Court,Fay Schwartz,Republican,"Elkhart County, No. 3",2061
Allen,Prosecuting Attorney,J. Michael (Mike) Loomis,Republican,Allen (38th Circuit),8569
Allen,Prosecuting Attorney,Karen Richards,Republican,Allen (38th Circuit),16711
Elkhart,Judge of the Superior Court,Teresa L. Cataldo,Republican,"Elkhart County, No. 3",4135
Elkhart,Judge of the Superior Court,Gretchen S. Lund,Republican,"Elkhart County, No. 4",10515
Bartholomew,Prosecuting Attorney,William M. (Bill) Nash,Republican,Bartholomew (9th Circuit),7637
Elkhart,Judge of the Superior Court,Charles Carter Wicks,Republican,"Elkhart County, No. 5",10577
Benton,Prosecuting Attorney,John C. Wright,Republican,Benton (76th Circuit),1308
Blackford,Prosecuting Attorney,Kevin N. Basey,Republican,Blackford (71st Circuit),777
Boone,Prosecuting Attorney,Todd J. Meyer,Republican,Boone (20th Circuit),5469
Brown,Prosecuting Attorney,James R. Oliver,Democratic,Brown (88th Circuit),921
Carroll,Prosecuting Attorney,Robert T. (Rob) Ives,Republican,Carroll (74th Circuit),1702
Cass,Prosecuting Attorney,Mark Kelly Leeman,Democratic,Cass (29th Circuit),690
Cass,Prosecuting Attorney,Lisa L. Swaim,Republican,Cass (29th Circuit),1848
Clark,Prosecuting Attorney,Robert G. Bottorff II,Democratic,Clark (4th Circuit),6063
Clark,Prosecuting Attorney,Jeremy Mull,Republican,Clark (4th Circuit),2222
Clay,Prosecuting Attorney,"B. Lee Reberger, Jr.",Republican,Clay (13th Circuit),1422
Clay,Prosecuting Attorney,Robert Alex Pell,Republican,Clay (13th Circuit),1762
Clinton,Prosecuting Attorney,Anthony J. Sommer,Republican,Clinton (45th Circuit),2844
Crawford,Prosecuting Attorney,Cheryl J. Hillenburg,Democratic,Crawford (77th Circuit),1006
Crawford,Prosecuting Attorney,Lester V. Shelton,Republican,Crawford (77th Circuit),259
Crawford,Prosecuting Attorney,Nicholas W. Haverstock,Republican,Crawford (77th Circuit),706
Daviess,Prosecuting Attorney,Dan Murrie,Republican,Daviess (49th Circuit),3828
Dearborn,Prosecuting Attorney,Aaron Negangard,Republican,Dearborn & Ohio(7th Cir.),2177
Decatur,Prosecuting Attorney,Christopher M. Tebbe,Democratic,Decatur (69th Circuit),416
Decatur,Prosecuting Attorney,Nathan W. Harter IV,Republican,Decatur (69th Circuit),1470
DeKalb,Prosecuting Attorney,ClaraMary Winebrenner,Republican,DeKalb (75th Circuit),1432
Delaware,Prosecuting Attorney,Jeffrey L. Arnold,Republican,Delaware (46th Circuit),3810
Dubois,Prosecuting Attorney,Anthony D. Quinn,Democratic,Dubois (57th Circuit),1244
Elkhart,Prosecuting Attorney,"Curtis T. Hill, Jr.",Republican,Elkhart (34th Circuit),11230
